Stock Symbol,Stock Market,Stock Name,INDEX
360ONE,NSE,360 ONE WAM Ltd.,['NIFTY500']
3MINDIA,NSE,3M India Ltd.,['NIFTY500']
A,NYSE/NASDAQ,Agilent Technologies,['S&P 500']
AADHARHFC,NSE,Aadhar Housing Finance Ltd.,['NIFTY500']
AAPL,NYSE/NASDAQ,Apple Inc.,"['DOW JONES', 'S&P 500']"
AARTIIND,NSE,Aarti Industries Ltd.,"['NIFTY500', 'NIFTY_CHEMICALS']"
AAVAS,NSE,Aavas Financiers Ltd.,['NIFTY500']
ABB,NSE,ABB India Ltd.,['NIFTY500']
ABBOTINDIA,NSE,Abbott India Ltd.,"['NIFTY500', 'NIFTY_HEALTH_CARE']"
ABBV,NYSE/NASDAQ,AbbVie,['S&P 500']
ABCAPITAL,NSE,Aditya Birla Capital Ltd.,['NIFTY500']
ABDL,NSE,Allied Blenders and Distillers Ltd.,['NIFTY500']
ABFRL,NSE,Aditya Birla Fashion and Retail Ltd.,['NIFTY500']
ABLBL,NSE,Aditya Birla Lifestyle Brands Ltd.,['NIFTY500']
ABNB,NYSE/NASDAQ,Airbnb,['S&P 500']
ABREL,NSE,Aditya Birla Real Estate Ltd.,['NIFTY500']
ABSLAMC,NSE,Aditya Birla Sun Life AMC Ltd.,['NIFTY500']
ABT,NYSE/NASDAQ,Abbott Laboratories,['S&P 500']
ACC,NSE,ACC Ltd.,['NIFTY500']
ACE,NSE,Action Construction Equipment Ltd.,['NIFTY500']
ACGL,NYSE/NASDAQ,Arch Capital Group,['S&P 500']
ACMESOLAR,NSE,ACME Solar Holdings Ltd.,['NIFTY500']
ACN,NYSE/NASDAQ,Accenture,['S&P 500']
ACUTAAS,NSE,Acutaas Chemicals Ltd.,['NIFTY500']
ADANIENSOL,NSE,Adani Energy Solutions Ltd.,['NIFTY500']
ADANIENT,NSE,Adani Enterprises Ltd.,"['NIFTY50', 'NIFTY500']"
ADANIGREEN,NSE,Adani Green Energy Ltd.,['NIFTY500']
ADANIPORTS,NSE,Adani Ports and Special Economic Zone Ltd.,"['NIFTY50', 'NIFTY500']"
ADANIPOWER,NSE,Adani Power Ltd.,['NIFTY500']
ADBE,NYSE/NASDAQ,Adobe Inc.,['S&P 500']
ADI,NYSE/NASDAQ,Analog Devices,['S&P 500']
ADM,NYSE/NASDAQ,Archer Daniels Midland,['S&P 500']
ADP,NYSE/NASDAQ,Automatic Data Processing,['S&P 500']
ADSK,NYSE/NASDAQ,Autodesk,['S&P 500']
AEE,NYSE/NASDAQ,Ameren,['S&P 500']
AEGISLOG,NSE,Aegis Logistics Ltd.,['NIFTY500']
AEGISVOPAK,NSE,Aegis Vopak Terminals Ltd.,['NIFTY500']
AEP,NYSE/NASDAQ,American Electric Power,['S&P 500']
AES,NYSE/NASDAQ,AES Corporation,['S&P 500']
AFCONS,NSE,Afcons Infrastructure Ltd.,['NIFTY500']
AFFLE,NSE,Affle 3i Ltd.,['NIFTY500']
AFL,NYSE/NASDAQ,Aflac,['S&P 500']
AIAENG,NSE,AIA Engineering Ltd.,['NIFTY500']
AIG,NYSE/NASDAQ,American International Group,['S&P 500']
AIIL,NSE,Authum Investment & Infrastructure Ltd.,['NIFTY500']
AIZ,NYSE/NASDAQ,Assurant,['S&P 500']
AJANTPHARM,NSE,Ajanta Pharmaceuticals Ltd.,['NIFTY500']
AJG,NYSE/NASDAQ,Arthur J. Gallagher & Co.,['S&P 500']
AKAM,NYSE/NASDAQ,Akamai Technologies,['S&P 500']
AKZOINDIA,NSE,Akzo Nobel India Ltd.,['NIFTY500']
ALB,NYSE/NASDAQ,Albemarle Corporation,['S&P 500']
ALGN,NYSE/NASDAQ,Align Technology,['S&P 500']
ALKEM,NSE,Alkem Laboratories Ltd.,"['NIFTY500', 'NIFTY_HEALTH_CARE']"
ALL,NYSE/NASDAQ,Allstate,['S&P 500']
ALLE,NYSE/NASDAQ,Allegion,['S&P 500']
AMAT,NYSE/NASDAQ,Applied Materials,['S&P 500']
AMBER,NSE,Amber Enterprises India Ltd.,['NIFTY500']
AMBUJACEM,NSE,Ambuja Cements Ltd.,['NIFTY500']
AMCR,NYSE/NASDAQ,Amcor,['S&P 500']
AMD,NYSE/NASDAQ,Advanced Micro Devices,['S&P 500']
AME,NYSE/NASDAQ,Ametek,['S&P 500']
AMGN,NYSE/NASDAQ,Amgen,"['DOW JONES', 'S&P 500']"
AMP,NYSE/NASDAQ,Ameriprise Financial,['S&P 500']
AMT,NYSE/NASDAQ,American Tower,['S&P 500']
AMZN,NYSE/NASDAQ,Amazon,"['DOW JONES', 'S&P 500']"
ANANDRATHI,NSE,Anand Rathi Wealth Ltd.,['NIFTY500']
ANANTRAJ,NSE,Anant Raj Ltd.,['NIFTY500']
ANET,NYSE/NASDAQ,Arista Networks,['S&P 500']
ANGELONE,NSE,Angel One Ltd.,['NIFTY500']
ANTHEM,NSE,Anthem Biosciences Ltd.,['NIFTY500']
ANURAS,NSE,Anupam Rasayan India Ltd.,['NIFTY500']
AON,NYSE/NASDAQ,Aon plc,['S&P 500']
AOS,NYSE/NASDAQ,A. O. Smith,['S&P 500']
APA,NYSE/NASDAQ,APA Corporation,['S&P 500']
APARINDS,NSE,Apar Industries Ltd.,['NIFTY500']
APD,NYSE/NASDAQ,Air Products,['S&P 500']
APH,NYSE/NASDAQ,Amphenol,['S&P 500']
APLAPOLLO,NSE,APL Apollo Tubes Ltd.,['NIFTY500']
APO,NYSE/NASDAQ,Apollo Global Management,['S&P 500']
APOLLOHOSP,NSE,Apollo Hospitals Enterprise Ltd.,"['NIFTY50', 'NIFTY500', 'NIFTY_HEALTH_CARE']"
APOLLOTYRE,NSE,Apollo Tyres Ltd.,['NIFTY500']
APP,NYSE/NASDAQ,AppLovin,['S&P 500']
APTUS,NSE,Aptus Value Housing Finance India Ltd.,['NIFTY500']
APTV,NYSE/NASDAQ,Aptiv,['S&P 500']
ARE,NYSE/NASDAQ,Alexandria Real Estate Equities,['S&P 500']
ARE&M,NSE,Amara Raja Energy & Mobility Ltd.,['NIFTY500']
ARES,NYSE/NASDAQ,Ares Management,['S&P 500']
ASAHIINDIA,NSE,Asahi India Glass Ltd.,['NIFTY500']
ASHOKLEY,NSE,Ashok Leyland Ltd.,"['NIFTY500', 'NIFTY_AUTO']"
ASIANPAINT,NSE,Asian Paints Ltd.,"['NIFTY50', 'NIFTY500']"
ASTERDM,NSE,Aster DM Healthcare Ltd.,['NIFTY500']
ASTRAL,NSE,Astral Ltd.,['NIFTY500']
ATGL,NSE,Adani Total Gas Ltd.,['NIFTY500']
ATHERENERG,NSE,Ather Energy Ltd.,['NIFTY500']
ATO,NYSE/NASDAQ,Atmos Energy,['S&P 500']
ATUL,NSE,Atul Ltd.,"['NIFTY500', 'NIFTY_CHEMICALS']"
AUBANK,NSE,AU Small Finance Bank Ltd.,"['NIFTY500', 'NIFTY_BANK']"
AUROPHARMA,NSE,Aurobindo Pharma Ltd.,"['NIFTY500', 'NIFTY_HEALTH_CARE']"
AVB,NYSE/NASDAQ,AvalonBay Communities,['S&P 500']
AVGO,NYSE/NASDAQ,Broadcom,['S&P 500']
AVY,NYSE/NASDAQ,Avery Dennison,['S&P 500']
AWK,NYSE/NASDAQ,American Water Works,['S&P 500']
AWL,NSE,AWL Agri Business Ltd.,['NIFTY500']
AXISBANK,NSE,Axis Bank Ltd.,"['NIFTY50', 'NIFTY500', 'NIFTY_BANK', 'NIFTY_FINANCIAL_SERVICES']"
AXON,NYSE/NASDAQ,Axon Enterprise,['S&P 500']
AXP,NYSE/NASDAQ,American Express,"['DOW JONES', 'S&P 500']"
AZO,NYSE/NASDAQ,AutoZone,['S&P 500']
BA,NYSE/NASDAQ,Boeing,"['DOW JONES', 'S&P 500']"
BAC,NYSE/NASDAQ,Bank of America,['S&P 500']
BAJAJ-AUTO,NSE,Bajaj Auto Ltd.,"['NIFTY50', 'NIFTY500', 'NIFTY_AUTO']"
BAJAJFINSV,NSE,Bajaj Finserv Ltd.,"['NIFTY50', 'NIFTY500', 'NIFTY_FINANCIAL_SERVICES']"
BAJAJHFL,NSE,Bajaj Housing Finance Ltd.,['NIFTY500']
BAJAJHLDNG,NSE,Bajaj Holdings & Investment Ltd.,['NIFTY500']
BAJFINANCE,NSE,Bajaj Finance Ltd.,"['NIFTY50', 'NIFTY500', 'NIFTY_FINANCIAL_SERVICES']"
BALKRISIND,NSE,Balkrishna Industries Ltd.,['NIFTY500']
BALL,NYSE/NASDAQ,Ball Corporation,['S&P 500']
BALRAMCHIN,NSE,Balrampur Chini Mills Ltd.,['NIFTY500']
BANDHANBNK,NSE,Bandhan Bank Ltd.,['NIFTY500']
BANKBARODA,NSE,Bank of Baroda,"['NIFTY500', 'NIFTY_BANK']"
BANKINDIA,NSE,Bank of India,['NIFTY500']
BATAINDIA,NSE,Bata India Ltd.,['NIFTY500']
BAX,NYSE/NASDAQ,Baxter International,['S&P 500']
BAYERCROP,NSE,Bayer Cropscience Ltd.,"['NIFTY500', 'NIFTY_CHEMICALS']"
BBTC,NSE,Bombay Burmah Trading Corporation Ltd.,['NIFTY500']
BBY,NYSE/NASDAQ,Best Buy,['S&P 500']
BDL,NSE,Bharat Dynamics Ltd.,['NIFTY500']
BDX,NYSE/NASDAQ,Becton Dickinson,['S&P 500']
BEL,NSE,Bharat Electronics Ltd.,"['NIFTY50', 'NIFTY500']"
BELRISE,NSE,Belrise Industries Ltd.,['NIFTY500']
BEML,NSE,BEML Ltd.,['NIFTY500']
BEN,NYSE/NASDAQ,Franklin Resources,['S&P 500']
BERGEPAINT,NSE,Berger Paints India Ltd.,['NIFTY500']
BF.B,NYSE/NASDAQ,Brown–Forman,['S&P 500']
BG,NYSE/NASDAQ,Bunge Global,['S&P 500']
BHARATFORG,NSE,Bharat Forge Ltd.,"['NIFTY500', 'NIFTY_AUTO']"
BHARTIARTL,NSE,Bharti Airtel Ltd.,"['NIFTY50', 'NIFTY500']"
BHARTIHEXA,NSE,Bharti Hexacom Ltd.,['NIFTY500']
BHEL,NSE,Bharat Heavy Electricals Ltd.,['NIFTY500']
BIIB,NYSE/NASDAQ,Biogen,['S&P 500']
BIKAJI,NSE,Bikaji Foods International Ltd.,['NIFTY500']
BIOCON,NSE,Biocon Ltd.,"['NIFTY500', 'NIFTY_HEALTH_CARE']"
BK,NYSE/NASDAQ,BNY Mellon,['S&P 500']
BKNG,NYSE/NASDAQ,Booking Holdings,['S&P 500']
BKR,NYSE/NASDAQ,Baker Hughes,['S&P 500']
BLDR,NYSE/NASDAQ,Builders FirstSource,['S&P 500']
BLK,NYSE/NASDAQ,BlackRock,['S&P 500']
BLS,NSE,BLS International Services Ltd.,['NIFTY500']
BLUEDART,NSE,Blue Dart Express Ltd.,['NIFTY500']
BLUEJET,NSE,Blue Jet Healthcare Ltd.,['NIFTY500']
BLUESTARCO,NSE,Blue Star Ltd.,['NIFTY500']
BMY,NYSE/NASDAQ,Bristol Myers Squibb,['S&P 500']
BOSCHLTD,NSE,Bosch Ltd.,"['NIFTY500', 'NIFTY_AUTO']"
BPCL,NSE,Bharat Petroleum Corporation Ltd.,['NIFTY500']
BR,NYSE/NASDAQ,Broadridge Financial Solutions,['S&P 500']
BRIGADE,NSE,Brigade Enterprises Ltd.,['NIFTY500']
BRITANNIA,NSE,Britannia Industries Ltd.,"['NIFTY500', 'NIFTY_FMCG']"
BRK.B,NYSE/NASDAQ,Berkshire Hathaway,['S&P 500']
BRO,NYSE/NASDAQ,Brown & Brown,['S&P 500']
BSE,NSE,BSE Ltd.,"['NIFTY500', 'NIFTY_FINANCIAL_SERVICES']"
BSOFT,NSE,Birlasoft Ltd.,['NIFTY500']
BSX,NYSE/NASDAQ,Boston Scientific,['S&P 500']
BX,NYSE/NASDAQ,Blackstone Inc.,['S&P 500']
BXP,NYSE/NASDAQ,"BXP, Inc.",['S&P 500']
C,NYSE/NASDAQ,Citigroup,['S&P 500']
CAG,NYSE/NASDAQ,Conagra Brands,['S&P 500']
CAH,NYSE/NASDAQ,Cardinal Health,['S&P 500']
CAMS,NSE,Computer Age Management Services Ltd.,['NIFTY500']
CANBK,NSE,Canara Bank,"['NIFTY500', 'NIFTY_BANK']"
CANFINHOME,NSE,Can Fin Homes Ltd.,['NIFTY500']
CANHLIFE,NSE,Canara HSBC Life Insurance Company Ltd.,['NIFTY500']
CAPLIPOINT,NSE,Caplin Point Laboratories Ltd.,['NIFTY500']
CARBORUNIV,NSE,Carborundum Universal Ltd.,['NIFTY500']
CARR,NYSE/NASDAQ,Carrier Global,['S&P 500']
CARTRADE,NSE,Cartrade Tech Ltd.,['NIFTY500']
CASTROLIND,NSE,Castrol India Ltd.,['NIFTY500']
CAT,NYSE/NASDAQ,Caterpillar Inc.,"['DOW JONES', 'S&P 500']"
CB,NYSE/NASDAQ,Chubb Limited,['S&P 500']
CBOE,NYSE/NASDAQ,Cboe Global Markets,['S&P 500']
CBRE,NYSE/NASDAQ,CBRE Group,['S&P 500']
CCI,NYSE/NASDAQ,Crown Castle,['S&P 500']
CCL,NSE,CCL Products (I) Ltd.,['NIFTY500']
CCL,NYSE/NASDAQ,Carnival,['S&P 500']
CDNS,NYSE/NASDAQ,Cadence Design Systems,['S&P 500']
CDSL,NSE,Central Depository Services (India) Ltd.,['NIFTY500']
CDW,NYSE/NASDAQ,CDW Corporation,['S&P 500']
CEATLTD,NSE,Ceat Ltd.,['NIFTY500']
CEG,NYSE/NASDAQ,Constellation Energy,['S&P 500']
CEMPRO,NSE,Cemindia Projects Ltd.,['NIFTY500']
CENTRALBK,NSE,Central Bank of India,['NIFTY500']
CESC,NSE,CESC Ltd.,['NIFTY500']
CF,NYSE/NASDAQ,CF Industries,['S&P 500']
CFG,NYSE/NASDAQ,Citizens Financial Group,['S&P 500']
CGCL,NSE,Capri Global Capital Ltd.,['NIFTY500']
CGPOWER,NSE,CG Power and Industrial Solutions Ltd.,['NIFTY500']
CHALET,NSE,Chalet Hotels Ltd.,['NIFTY500']
CHAMBLFERT,NSE,Chambal Fertilizers & Chemicals Ltd.,"['NIFTY500', 'NIFTY_CHEMICALS']"
CHD,NYSE/NASDAQ,Church & Dwight,['S&P 500']
CHENNPETRO,NSE,Chennai Petroleum Corporation Ltd.,['NIFTY500']
CHOICEIN,NSE,Choice International Ltd.,['NIFTY500']
CHOLAFIN,NSE,Cholamandalam Investment and Finance Company Ltd.,"['NIFTY500', 'NIFTY_FINANCIAL_SERVICES']"
CHOLAHLDNG,NSE,Cholamandalam Financial Holdings Ltd.,['NIFTY500']
CHRW,NYSE/NASDAQ,C.H. Robinson,['S&P 500']
CHTR,NYSE/NASDAQ,Charter Communications,['S&P 500']
CI,NYSE/NASDAQ,Cigna,['S&P 500']
CIEN,NYSE/NASDAQ,Ciena,['S&P 500']
CINF,NYSE/NASDAQ,Cincinnati Financial,['S&P 500']
CIPLA,NSE,Cipla Ltd.,"['NIFTY50', 'NIFTY500', 'NIFTY_HEALTH_CARE']"
CL,NYSE/NASDAQ,Colgate-Palmolive,['S&P 500']
CLEAN,NSE,Clean Science and Technology Ltd.,['NIFTY500']
CLX,NYSE/NASDAQ,Clorox,['S&P 500']
CMCSA,NYSE/NASDAQ,Comcast,['S&P 500']
CME,NYSE/NASDAQ,CME Group,['S&P 500']
CMG,NYSE/NASDAQ,Chipotle Mexican Grill,['S&P 500']
CMI,NYSE/NASDAQ,Cummins,['S&P 500']
CMS,NYSE/NASDAQ,CMS Energy,['S&P 500']
CNC,NYSE/NASDAQ,Centene Corporation,['S&P 500']
CNP,NYSE/NASDAQ,CenterPoint Energy,['S&P 500']
COALINDIA,NSE,Coal India Ltd.,"['NIFTY50', 'NIFTY500']"
COCHINSHIP,NSE,Cochin Shipyard Ltd.,['NIFTY500']
COF,NYSE/NASDAQ,Capital One,['S&P 500']
COFORGE,NSE,Coforge Ltd.,"['NIFTY500', 'NIFTY_IT']"
COHANCE,NSE,Cohance Lifesciences Ltd.,['NIFTY500']
COHR,NYSE/NASDAQ,Coherent Corp.,['S&P 500']
COIN,NYSE/NASDAQ,Coinbase,['S&P 500']
COLPAL,NSE,Colgate Palmolive (India) Ltd.,"['NIFTY500', 'NIFTY_FMCG']"
CONCOR,NSE,Container Corporation of India Ltd.,['NIFTY500']
CONCORDBIO,NSE,Concord Biotech Ltd.,['NIFTY500']
COO,NYSE/NASDAQ,The Cooper Companies,['S&P 500']
COP,NYSE/NASDAQ,ConocoPhillips,['S&P 500']
COR,NYSE/NASDAQ,Cencora,['S&P 500']
COROMANDEL,NSE,Coromandel International Ltd.,"['NIFTY500', 'NIFTY_CHEMICALS']"
COST,NYSE/NASDAQ,Costco,['S&P 500']
CPAY,NYSE/NASDAQ,Corpay,['S&P 500']
CPB,NYSE/NASDAQ,The Campbell's Company,['S&P 500']
CPPLUS,NSE,Aditya Infotech Ltd.,['NIFTY500']
CPRT,NYSE/NASDAQ,Copart,['S&P 500']
CPT,NYSE/NASDAQ,Camden Property Trust,['S&P 500']
CRAFTSMAN,NSE,Craftsman Automation Ltd.,['NIFTY500']
CREDITACC,NSE,CreditAccess Grameen Ltd.,['NIFTY500']
CRH,NYSE/NASDAQ,CRH plc,['S&P 500']
CRISIL,NSE,CRISIL Ltd.,['NIFTY500']
CRL,NYSE/NASDAQ,Charles River Laboratories,['S&P 500']
CRM,NYSE/NASDAQ,Salesforce,"['DOW JONES', 'S&P 500']"
CROMPTON,NSE,Crompton Greaves Consumer Electricals Ltd.,['NIFTY500']
CRWD,NYSE/NASDAQ,CrowdStrike,['S&P 500']
CSCO,NYSE/NASDAQ,Cisco,"['DOW JONES', 'S&P 500']"
CSGP,NYSE/NASDAQ,CoStar Group,['S&P 500']
CSX,NYSE/NASDAQ,CSX Corporation,['S&P 500']
CTAS,NYSE/NASDAQ,Cintas,['S&P 500']
CTRA,NYSE/NASDAQ,Coterra,['S&P 500']
CTSH,NYSE/NASDAQ,Cognizant,['S&P 500']
CTVA,NYSE/NASDAQ,Corteva,['S&P 500']
CUB,NSE,City Union Bank Ltd.,['NIFTY500']
CUMMINSIND,NSE,Cummins India Ltd.,['NIFTY500']
CVNA,NYSE/NASDAQ,Carvana,['S&P 500']
CVS,NYSE/NASDAQ,CVS Health,['S&P 500']
CVX,NYSE/NASDAQ,Chevron Corporation,"['DOW JONES', 'S&P 500']"
CYIENT,NSE,Cyient Ltd.,['NIFTY500']
D,NYSE/NASDAQ,Dominion Energy,['S&P 500']
DABUR,NSE,Dabur India Ltd.,"['NIFTY500', 'NIFTY_FMCG']"
DAL,NYSE/NASDAQ,Delta Air Lines,['S&P 500']
DALBHARAT,NSE,Dalmia Bharat Ltd.,['NIFTY500']
DASH,NYSE/NASDAQ,DoorDash,['S&P 500']
DATAPATTNS,NSE,Data Patterns (India) Ltd.,['NIFTY500']
DCMSHRIRAM,NSE,DCM Shriram Ltd.,['NIFTY500']
DD,NYSE/NASDAQ,DuPont,['S&P 500']
DDOG,NYSE/NASDAQ,Datadog,['S&P 500']
DE,NYSE/NASDAQ,Deere & Company,['S&P 500']
DECK,NYSE/NASDAQ,Deckers Brands,['S&P 500']
DEEPAKFERT,NSE,Deepak Fertilisers & Petrochemicals Corp. Ltd.,['NIFTY500']
DEEPAKNTR,NSE,Deepak Nitrite Ltd.,"['NIFTY500', 'NIFTY_CHEMICALS']"
DELHIVERY,NSE,Delhivery Ltd.,['NIFTY500']
DELL,NYSE/NASDAQ,Dell Technologies,['S&P 500']
DEVYANI,NSE,Devyani International Ltd.,['NIFTY500']
DG,NYSE/NASDAQ,Dollar General,['S&P 500']
DGX,NYSE/NASDAQ,Quest Diagnostics,['S&P 500']
DHI,NYSE/NASDAQ,D. R. Horton,['S&P 500']
DHR,NYSE/NASDAQ,Danaher Corporation,['S&P 500']
DIS,NYSE/NASDAQ,The Walt Disney Company,"['DOW JONES', 'S&P 500']"
DIVISLAB,NSE,Divi's Laboratories Ltd.,"['NIFTY500', 'NIFTY_HEALTH_CARE']"
DIXON,NSE,Dixon Technologies (India) Ltd.,['NIFTY500']
DLF,NSE,DLF Ltd.,['NIFTY500']
DLR,NYSE/NASDAQ,Digital Realty,['S&P 500']
DLTR,NYSE/NASDAQ,Dollar Tree,['S&P 500']
DMART,NSE,Avenue Supermarts Ltd.,['NIFTY500']
DOC,NYSE/NASDAQ,Healthpeak Properties,['S&P 500']
DOMS,NSE,DOMS Industries Ltd.,['NIFTY500']
DOV,NYSE/NASDAQ,Dover Corporation,['S&P 500']
DOW,NYSE/NASDAQ,Dow Inc.,['S&P 500']
DPZ,NYSE/NASDAQ,Domino's,['S&P 500']
DRI,NYSE/NASDAQ,Darden Restaurants,['S&P 500']
DRREDDY,NSE,Dr. Reddy's Laboratories Ltd.,"['NIFTY50', 'NIFTY500', 'NIFTY_HEALTH_CARE']"
DTE,NYSE/NASDAQ,DTE Energy,['S&P 500']
DUK,NYSE/NASDAQ,Duke Energy,['S&P 500']
DVA,NYSE/NASDAQ,DaVita,['S&P 500']
DVN,NYSE/NASDAQ,Devon Energy,['S&P 500']
DXCM,NYSE/NASDAQ,Dexcom,['S&P 500']
EA,NYSE/NASDAQ,Electronic Arts,['S&P 500']
EBAY,NYSE/NASDAQ,eBay Inc.,['S&P 500']
ECL,NYSE/NASDAQ,Ecolab,['S&P 500']
ECLERX,NSE,eClerx Services Ltd.,['NIFTY500']
ED,NYSE/NASDAQ,Consolidated Edison,['S&P 500']
EFX,NYSE/NASDAQ,Equifax,['S&P 500']
EG,NYSE/NASDAQ,Everest Group,['S&P 500']
EICHERMOT,NSE,Eicher Motors Ltd.,"['NIFTY50', 'NIFTY500', 'NIFTY_AUTO']"
EIDPARRY,NSE,E.I.D. Parry (India) Ltd.,"['NIFTY500', 'NIFTY_CHEMICALS']"
EIHOTEL,NSE,EIH Ltd.,['NIFTY500']
EIX,NYSE/NASDAQ,Edison International,['S&P 500']
EL,NYSE/NASDAQ,The Estée Lauder Companies,['S&P 500']
ELECON,NSE,Elecon Engineering Co. Ltd.,['NIFTY500']
ELGIEQUIP,NSE,Elgi Equipments Ltd.,['NIFTY500']
ELV,NYSE/NASDAQ,Elevance Health,['S&P 500']
EMAMILTD,NSE,Emami Ltd.,"['NIFTY500', 'NIFTY_FMCG']"
EMCURE,NSE,Emcure Pharmaceuticals Ltd.,['NIFTY500']
EME,NYSE/NASDAQ,Emcor,['S&P 500']
EMMVEE,NSE,Emmvee Photovoltaic Power Ltd.,['NIFTY500']
EMR,NYSE/NASDAQ,Emerson Electric,['S&P 500']
ENDURANCE,NSE,Endurance Technologies Ltd.,['NIFTY500']
ENGINERSIN,NSE,Engineers India Ltd.,['NIFTY500']
ENRIN,NSE,Siemens Energy India Ltd.,['NIFTY500']
EOG,NYSE/NASDAQ,EOG Resources,['S&P 500']
EPAM,NYSE/NASDAQ,EPAM Systems,['S&P 500']
EQIX,NYSE/NASDAQ,Equinix,['S&P 500']
EQR,NYSE/NASDAQ,Equity Residential,['S&P 500']
EQT,NYSE/NASDAQ,EQT Corporation,['S&P 500']
ERIE,NYSE/NASDAQ,Erie Indemnity,['S&P 500']
ERIS,NSE,Eris Lifesciences Ltd.,['NIFTY500']
ES,NYSE/NASDAQ,Eversource Energy,['S&P 500']
ESCORTS,NSE,Escorts Kubota Ltd.,['NIFTY500']
ESS,NYSE/NASDAQ,Essex Property Trust,['S&P 500']
ETERNAL,NSE,Eternal Ltd.,"['NIFTY50', 'NIFTY500']"
ETN,NYSE/NASDAQ,Eaton Corporation,['S&P 500']
ETR,NYSE/NASDAQ,Entergy,['S&P 500']
EVRG,NYSE/NASDAQ,Evergy,['S&P 500']
EW,NYSE/NASDAQ,Edwards Lifesciences,['S&P 500']
EXC,NYSE/NASDAQ,Exelon,['S&P 500']
EXE,NYSE/NASDAQ,Expand Energy,['S&P 500']
EXIDEIND,NSE,Exide Industries Ltd.,"['NIFTY500', 'NIFTY_AUTO']"
EXPD,NYSE/NASDAQ,Expeditors International,['S&P 500']
EXPE,NYSE/NASDAQ,Expedia Group,['S&P 500']
EXR,NYSE/NASDAQ,Extra Space Storage,['S&P 500']
F,NYSE/NASDAQ,Ford Motor Company,['S&P 500']
FACT,NSE,Fertilisers and Chemicals Travancore Ltd.,['NIFTY500']
FANG,NYSE/NASDAQ,Diamondback Energy,['S&P 500']
FAST,NYSE/NASDAQ,Fastenal,['S&P 500']
FCX,NYSE/NASDAQ,Freeport-McMoRan,['S&P 500']
FDS,NYSE/NASDAQ,FactSet,['S&P 500']
FDX,NYSE/NASDAQ,FedEx,['S&P 500']
FE,NYSE/NASDAQ,FirstEnergy,['S&P 500']
FEDERALBNK,NSE,Federal Bank Ltd.,"['NIFTY500', 'NIFTY_BANK']"
FFIV,NYSE/NASDAQ,"F5, Inc.",['S&P 500']
FICO,NYSE/NASDAQ,Fair Isaac,['S&P 500']
FINCABLES,NSE,Finolex Cables Ltd.,['NIFTY500']
FIRSTCRY,NSE,Brainbees Solutions Ltd.,['NIFTY500']
FIS,NYSE/NASDAQ,Fidelity National Information Services,['S&P 500']
FISV,NYSE/NASDAQ,Fiserv,['S&P 500']
FITB,NYSE/NASDAQ,Fifth Third Bancorp,['S&P 500']
FIVESTAR,NSE,Five-Star Business Finance Ltd.,['NIFTY500']
FIX,NYSE/NASDAQ,Comfort Systems USA,['S&P 500']
FLUOROCHEM,NSE,Gujarat Fluorochemicals Ltd.,"['NIFTY500', 'NIFTY_CHEMICALS']"
FORCEMOT,NSE,Force Motors Ltd.,['NIFTY500']
FORTIS,NSE,Fortis Healthcare Ltd.,"['NIFTY500', 'NIFTY_HEALTH_CARE']"
FOX,NYSE/NASDAQ,Fox Corporation (Class B),['S&P 500']
FOXA,NYSE/NASDAQ,Fox Corporation (Class A),['S&P 500']
