Stock Symbol,Stock Market,Stock Name,INDEX
JIOFIN,NSE,Jio Financial Services Ltd.,"['NIFTY50', 'NIFTY500', 'NIFTY_FINANCIAL_SERVICES']"
JKCEMENT,NSE,J.K. Cement Ltd.,['NIFTY500']
JKHY,NYSE/NASDAQ,Jack Henry & Associates,['S&P 500']
JKTYRE,NSE,JK Tyre & Industries Ltd.,['NIFTY500']
JMFINANCIL,NSE,JM Financial Ltd.,['NIFTY500']
JNJ,NYSE/NASDAQ,Johnson & Johnson,"['DOW JONES', 'S&P 500']"
JPM,NYSE/NASDAQ,JPMorgan Chase,"['DOW JONES', 'S&P 500']"
JPPOWER,NSE,Jaiprakash Power Ventures Ltd.,['NIFTY500']
JSL,NSE,Jindal Stainless Ltd.,['NIFTY500']
JSWCEMENT,NSE,JSW Cement Ltd.,['NIFTY500']
JSWENERGY,NSE,JSW Energy Ltd.,['NIFTY500']
JSWINFRA,NSE,JSW Infrastructure Ltd.,['NIFTY500']
JSWSTEEL,NSE,JSW Steel Ltd.,"['NIFTY50', 'NIFTY500']"
JUBLFOOD,NSE,Jubilant Foodworks Ltd.,['NIFTY500']
JUBLINGREA,NSE,Jubilant Ingrevia Ltd.,['NIFTY500']
JUBLPHARMA,NSE,Jubilant Pharmova Ltd.,['NIFTY500']
JWL,NSE,Jupiter Wagons Ltd.,['NIFTY500']
JYOTICNC,NSE,Jyoti CNC Automation Ltd.,['NIFTY500']
KAJARIACER,NSE,Kajaria Ceramics Ltd.,['NIFTY500']
KALYANKJIL,NSE,Kalyan Jewellers India Ltd.,['NIFTY500']
KARURVYSYA,NSE,Karur Vysya Bank Ltd.,['NIFTY500']
KAYNES,NSE,Kaynes Technology India Ltd.,['NIFTY500']
KDP,NYSE/NASDAQ,Keurig Dr Pepper,['S&P 500']
KEC,NSE,Kec International Ltd.,['NIFTY500']
KEI,NSE,KEI Industries Ltd.,['NIFTY500']
KEY,NYSE/NASDAQ,KeyCorp,['S&P 500']
KEYS,NYSE/NASDAQ,Keysight Technologies,['S&P 500']
KFINTECH,NSE,Kfin Technologies Ltd.,['NIFTY500']
KHC,NYSE/NASDAQ,Kraft Heinz,['S&P 500']
KIM,NYSE/NASDAQ,Kimco Realty,['S&P 500']
KIMS,NSE,Krishna Institute of Medical Sciences Ltd.,['NIFTY500']
KIRLOSENG,NSE,Kirloskar Oil Eng Ltd.,['NIFTY500']
KKR,NYSE/NASDAQ,KKR & Co.,['S&P 500']
KLAC,NYSE/NASDAQ,KLA Corporation,['S&P 500']
KMB,NYSE/NASDAQ,Kimberly-Clark,['S&P 500']
KMI,NYSE/NASDAQ,Kinder Morgan,['S&P 500']
KO,NYSE/NASDAQ,The Coca-Cola Company,"['DOW JONES', 'S&P 500']"
KOTAKBANK,NSE,Kotak Mahindra Bank Ltd.,"['NIFTY50', 'NIFTY500', 'NIFTY_BANK', 'NIFTY_FINANCIAL_SERVICES']"
KPIL,NSE,Kalpataru Projects International Ltd.,['NIFTY500']
KPITTECH,NSE,KPIT Technologies Ltd.,['NIFTY500']
KPRMILL,NSE,K.P.R. Mill Ltd.,['NIFTY500']
KR,NYSE/NASDAQ,Kroger,['S&P 500']
KVUE,NYSE/NASDAQ,Kenvue,['S&P 500']
L,NYSE/NASDAQ,Loews Corporation,['S&P 500']
LALPATHLAB,NSE,Dr. Lal Path Labs Ltd.,['NIFTY500']
LATENTVIEW,NSE,Latent View Analytics Ltd.,['NIFTY500']
LAURUSLABS,NSE,Laurus Labs Ltd.,"['NIFTY500', 'NIFTY_HEALTH_CARE']"
LDOS,NYSE/NASDAQ,Leidos,['S&P 500']
LEMONTREE,NSE,Lemon Tree Hotels Ltd.,['NIFTY500']
LEN,NYSE/NASDAQ,Lennar,['S&P 500']
LENSKART,NSE,Lenskart Solutions Ltd.,['NIFTY500']
LGEINDIA,NSE,LG Electronics India Ltd.,['NIFTY500']
LH,NYSE/NASDAQ,Labcorp,['S&P 500']
LHX,NYSE/NASDAQ,L3Harris,['S&P 500']
LICHSGFIN,NSE,LIC Housing Finance Ltd.,"['NIFTY500', 'NIFTY_FINANCIAL_SERVICES']"
LICI,NSE,Life Insurance Corporation of India,['NIFTY500']
LII,NYSE/NASDAQ,Lennox International,['S&P 500']
LIN,NYSE/NASDAQ,Linde plc,['S&P 500']
LINDEINDIA,NSE,Linde India Ltd.,"['NIFTY500', 'NIFTY_CHEMICALS']"
LITE,NYSE/NASDAQ,Lumentum,['S&P 500']
LLOYDSME,NSE,Lloyds Metals And Energy Ltd.,['NIFTY500']
LLY,NYSE/NASDAQ,Lilly (Eli),['S&P 500']
LMT,NYSE/NASDAQ,Lockheed Martin,['S&P 500']
LNT,NYSE/NASDAQ,Alliant Energy,['S&P 500']
LODHA,NSE,Lodha Developers Ltd.,['NIFTY500']
LOW,NYSE/NASDAQ,Lowe's,['S&P 500']
LRCX,NYSE/NASDAQ,Lam Research,['S&P 500']
LT,NSE,Larsen & Toubro Ltd.,"['NIFTY50', 'NIFTY500']"
LTF,NSE,L&T Finance Ltd.,['NIFTY500']
LTFOODS,NSE,LT Foods Ltd.,['NIFTY500']
LTM,NSE,LTIMindtree Ltd.,"['NIFTY500', 'NIFTY_IT']"
LTTS,NSE,L&T Technology Services Ltd.,['NIFTY500']
LULU,NYSE/NASDAQ,Lululemon Athletica,['S&P 500']
LUPIN,NSE,Lupin Ltd.,"['NIFTY500', 'NIFTY_HEALTH_CARE']"
LUV,NYSE/NASDAQ,Southwest Airlines,['S&P 500']
LVS,NYSE/NASDAQ,Las Vegas Sands,['S&P 500']
LYB,NYSE/NASDAQ,LyondellBasell,['S&P 500']
LYV,NYSE/NASDAQ,Live Nation Entertainment,['S&P 500']
M&M,NSE,Mahindra & Mahindra Ltd.,"['NIFTY50', 'NIFTY500', 'NIFTY_AUTO']"
M&MFIN,NSE,Mahindra & Mahindra Financial Services Ltd.,['NIFTY500']
MA,NYSE/NASDAQ,Mastercard,['S&P 500']
MAA,NYSE/NASDAQ,Mid-America Apartment Communities,['S&P 500']
MAHABANK,NSE,Bank of Maharashtra,['NIFTY500']
MANAPPURAM,NSE,Manappuram Finance Ltd.,['NIFTY500']
MANKIND,NSE,Mankind Pharma Ltd.,"['NIFTY500', 'NIFTY_HEALTH_CARE']"
MAPMYINDIA,NSE,C.E. Info Systems Ltd.,['NIFTY500']
MAR,NYSE/NASDAQ,Marriott International,['S&P 500']
MARICO,NSE,Marico Ltd.,"['NIFTY500', 'NIFTY_FMCG']"
MARUTI,NSE,Maruti Suzuki India Ltd.,"['NIFTY50', 'NIFTY500', 'NIFTY_AUTO']"
MAS,NYSE/NASDAQ,Masco,['S&P 500']
MAXHEALTH,NSE,Max Healthcare Institute Ltd.,"['NIFTY50', 'NIFTY500', 'NIFTY_HEALTH_CARE']"
MAZDOCK,NSE,Mazagoan Dock Shipbuilders Ltd.,['NIFTY500']
MCD,NYSE/NASDAQ,McDonald's,"['DOW JONES', 'S&P 500']"
MCHP,NYSE/NASDAQ,Microchip Technology,['S&P 500']
MCK,NYSE/NASDAQ,McKesson Corporation,['S&P 500']
MCO,NYSE/NASDAQ,Moody's Corporation,['S&P 500']
MCX,NSE,Multi Commodity Exchange of India Ltd.,['NIFTY500']
MDLZ,NYSE/NASDAQ,Mondelez International,['S&P 500']
MDT,NYSE/NASDAQ,Medtronic,['S&P 500']
MEDANTA,NSE,Global Health Ltd.,['NIFTY500']
MEESHO,NSE,Meesho Ltd.,['NIFTY500']
MET,NYSE/NASDAQ,MetLife,['S&P 500']
META,NYSE/NASDAQ,Meta Platforms,['S&P 500']
MFSL,NSE,Max Financial Services Ltd.,"['NIFTY500', 'NIFTY_FINANCIAL_SERVICES']"
MGL,NSE,Mahanagar Gas Ltd.,['NIFTY500']
MGM,NYSE/NASDAQ,MGM Resorts,['S&P 500']
MINDACORP,NSE,Minda Corporation Ltd.,['NIFTY500']
MKC,NYSE/NASDAQ,McCormick & Company,['S&P 500']
MLM,NYSE/NASDAQ,Martin Marietta Materials,['S&P 500']
MMM,NYSE/NASDAQ,3M,"['DOW JONES', 'S&P 500']"
MMTC,NSE,MMTC Ltd.,['NIFTY500']
MNST,NYSE/NASDAQ,Monster Beverage,['S&P 500']
MO,NYSE/NASDAQ,Altria,['S&P 500']
