ScripID,ScripCode,ScripName,OurSectorClassification
531668,VISION CORPO,VISION CORPO (BSE code:531668)   ,Paints
523628,WEAROLOGY LT,Wearology Ltd (BSE code:523628)   ,Textile
532039,ZENOTECH    ,Zenotech Laboratories Limited (BSE code:532039)   ,Steel
505141,SCOOTERS IND,Scooters Ind (Bse Code: 505141 ),Automobiles
512393,SHARDUL SECU,Shardul Securities Limited (BSE code:512393)   ,Financial Services
511218,SHRIRAM TRAN,Shriram Tran (Bse Code: 511218 ),Financial Services
530439,SIDDHA VEN  ,SIDDHA VEN (BSE code:530439)   ,Financial Services
532419,SMARTLINK   ,D-Link (India) Limited (BSE code:532419)   ,IT
532956,SOLECT EMS  ,Solectron EMS India Limited (BSE code:532956)   ,Engineering
531254,TRANSPEK FIN,TRANSPEK FIN (BSE code:531254)   ,Financial Services
517228,TREND ELECT ,Trend Electronics Ltd(NDA) (BSE code:517228)   ,Consumer Durables
532442,UNITEX DES  ,UNITEX DES (BSE code:532442)   ,IT
531119,CEENIK EXPO.,CEENI EXPO I (BSE code:531119)   ,Textile
700110,TIMEXWAT CRP,TIMEXWAT CRP (BSE code:700110)   ,Un classified
503823,BIRLA TRANS.,Birla Trans. (Bse Code: 503823 ),Textile
533082,ARO GRANITE* (BSE code:533082)   ,ARO GRANITE* (BSE code:533082)   ,Mining
531237,DHRUVA CAP. ,DHRUVA CAPIT (BSE code:531237)   ,Financial Services
530789,CEEJAY FINAN,CEEJAY FINAN (BSE code:530789)   ,Financial Services
500083,CENTURY EXT ,Century Ext  (Bse Code: 500083 ),Non Ferrous Metals
500488,ABBOTT (I)  ,Abbott (I)   (Bse Code: 500488 ),Pharmaceuticals
531156,ALFAVISON.OV,ALFAVI OVERS(BSE INDONEXT) (BSE code:531156)   ,Financial Services
532878,ALPA LAB    ,ALPA LAB (BSE code:532878)   ,Pharmaceuticals
513401,ASHIANA ISP.,Ashiana Ispat Ltd(NDA) (BSE code:513401)   ,Steel
502352,AURANG.PAPER,Aurang.Paper (Bse Code: 502352 ),Paper
505036,AUTO COR.GOA,Auto Cor.Goa (Bse Code: 505036 ),Auto Ancillaries
512109,AVIVA INDS  ,AVIVA INDS (BSE code:512109)   ,Textile
524516,BACIL PHARMA,BACIL PHARMA (BSE code:524516)   ,Pharmaceuticals
532978,BAJAJ FINSE ,Bajaj Finserv Limited (BSE code:532978)   ,Financial Services
531591,BAMPSL SECUR,BAMPSL SECUR (BSE code:531591)   ,Financial Services
532523,BIOCON LTD. ,Biocon Limited (BSE code:532523)   ,Pharmaceuticals
531671,BISIL PLAST ,Bisil Plast  (Bse Code: 531671 ),Plastic Processing
500163,GODFREY PH  ,Godfrey Ph   (Bse Code: 500163 ),Cigarettes
500168,GOODYEAR (I),Goodyear (I) (Bse Code: 500168 ),Tyres
532475,APTECH LTD  ,Aptech Ltd. (BSE code:532475)   ,IT
500500,HIND.MOTORS ,Hind.Motors  (Bse Code: 500500 ),Automobiles
532761,HOV SERVICES,HOV Services Limited (BSE code:532761)   ,Financial Services
511682,IFL PRMOTER ,IFL PROMOTERS LTD. INR10 (BSE code:511682)   ,Financial Services
514165,IND.ACRYLICS,Indian Acrylics Ltd (BSE code:514165)   ,Textile
531959,INTRA INFOTE,Intra Infotech Ltd(NDA) (BSE code:531959)   ,Pharmaceuticals
531692,KHYATI MULTI,KHYA MULT EN (BSE code:531692)   ,Tourism and Hotels
531703,TRIBHUVAN HS,TRIBHVAN HSG (BSE code:531703)   ,Construction and Building Materials
531728,AMRIT BANAS ,Amrit Banaspati Company Ltd (BSE code:531728)   ,Food Processing
531731,KUVAM INTL  ,KUVAM INTL (BSE code:531731)   ,Textile
531769,PFL INFOTECH,PFL INFOTECH (BSE code:531769)   ,Food Processing
531778,KACHCHHMIN  ,KACHCHH MIN (BSE code:531778)   ,Mining
531781,SURYADEEP SA,SAPAN CHEM (BSE code:531781)   ,Food Processing
531791,NOVAGOL PETR,NovaGold Petro Resources Ltd(NDA) (BSE code:531791)   ,Oil and Gas
531814,TIRUPATI SAR,TIRUPATI SAR (BSE code:531814)   ,Construction and Building Materials
531821,MUNOTH FIN. ,MUNOTH FINANCIAL S INR10 (BSE code:531821)   ,Financial Services
531859,ORIENTAL VEN,ORIENTAL VEN (BSE code:531859)   ,Construction and Building Materials
531866,SUBHKAM CAP ,Subhkam Capital Ltd. (BSE code:531866)   ,Financial Services
531869,SACHETA MET.,Sacheta Metals Ltd(NDA) (BSE code:531869)   ,Non Ferrous Metals
531882,KWALITY DAIR,Kwality Dairy (India) Ltd (BSE code:531882)   ,Food Processing
531892,KHANDWALA SE,Khandwala Securities Ltd. (BSE code:531892)   ,Financial Services
531898,SANGUINE MD ,Sanguine Media Limited (BSE code:531898)   ,Others
531902,FICON LEASE ,FICON LEASE (BSE code:531902)   ,Financial Services
531917,TWINSTAR SOF,Twin Star Software Export Ltd (BSE code:531917)   ,IT
531934,SUPREME TEX ,Supreme Tex Mart Ltd(NDA) (BSE code:531934)   ,Textile
531936,BLUE CHIP(I),BLUE CHI IND (BSE code:531936)   ,Others
531960,JINDAL ONLIN,JINDAL ONLIN (BSE code:531960)   ,Financial Services
531988,JANICE TEXT.,JANICE TEXTI (BSE code:531988)   ,Textile
531991,AMRAWOR AGRI,AMRAWOR AGRI (BSE code:531991)   ,Textile
532005,SAM INDUS.  ,Sam Industries Ltd (BSE code:532005)   ,Food Processing
532047,ASIAN FILMS ,ASIAN FILMS PROD INR1 (BSE code:532047)   ,Consumer Durables
532051,NUMERIC POWE,Numeric Power Systems Ltd. (BSE code:532051)   ,Engineering
532054,KDDL LTD    ,KDDL Ltd (BSE code:532054)   ,Fashion and personal items
532056,ADINATH EXIM,ADINATH EXIM (BSE code:532056)   ,Financial Services
532081,K SERA SERA ,K Sera Sera Productions Ltd. (BSE code:532081)   ,Media and Entertainment
532093,VENKAT PHARM,VENKAT PHARM (BSE code:532093)   ,Pharmaceuticals
532100,INDO-CITY IN,INDOCITY INF(BSE INDONEXT) (BSE code:532100)   ,Financial Services
532114,AREALTY     ,Alchemist Realty Ltd (BSE code:532114)   ,Packaging
532121,DENA BANK   ,Dena Bank (BSE code:532121)   ,Banks
532123,BSE  INFRA  ,BSEL Infrastructure Realty Limited (BSE code:532123)   ,IT
532133,IFGL REFRACT,IFGL Refractories Ltd. (BSE code:532133)   ,Engineering
532143,SKM EGG PROD,SKM Egg Products Export (India) Ltd (BSE code:532143)   ,Food Processing
532145,H.S.(I) LTD.,H.S.India Ltd(NDA) (BSE code:532145)   ,Tourism and Hotels
532156,VAIBHAV GEMS,Vaibhav Gems Ltd. (BSE code:532156)   ,Fashion and personal items
532160,GUJ.STAT.FIN,GUJARAT STATE FINA INR10 (BSE code:532160)   ,Financial Services
532177,ZIGMA SOFT. ,Zigma Software Ltd(NDA) (BSE code:532177)   ,IT
533149,ESSAR SECU  ,Essar Secu   (Bse Code: 533149 ),Financial Services
520145,FAIRFIELD AT,Fairfield Atlas Ltd. (BSE code:520145)   ,Auto Ancillaries
500720,FUTURA POLY.,Futura Poly. (Bse Code: 500720 ),Textile
500493,BHARAT FORGE,Bharat Forge (Bse Code: 500493 ),Engineering
524370,BODAL CHEM  ,Bodal Chemicals Ltd. (BSE code:524370)   ,Chemicals
500153,GANESH BENZO,Ganesh Benzo (Bse Code: 500153 ),Chemicals
500655,GARWARE POLY,Garware Poly (Bse Code: 500655 ),Packaging
523676,GOLKUNDA DIA,Golkunda Diamonds and Jewellery Ltd(NDA) (BSE code:523676)   ,Others
500186,HIND.OIL EXP,Hind.Oil Exp (Bse Code: 500186 ),Oil and Gas
532653,HINVDIR     ,HSBC InvestDirect (India) Limited (BSE code:532653)   ,Financial Services
522059,INDAGE VIN  ,Champagne Indage Ltd. (BSE code:522059)   ,Breweries and Distilleries
590065,INDIA MOTOR ,India Motor Parts Limited (BSE code:590065)   ,Automobiles
531447,INSUTECH (I),Insutech India Ltd (BSE code:531447)   ,Others
532072,INTER DIGI  ,Interworld Digital Ltd (BSE code:532072)   ,Fashion and personal items
590073,WHEELS INDIA,Wheels India Ltd (BSE code:590073)   ,Auto Ancillaries
522108,YUKEN INDIA ,Yuken India Ltd(NDA) (BSE code:522108)   ,Engineering
515127,RAMMAICA (I),RAMMAICA(INDIA) INR10 (BSE code:515127)   ,Construction and Building Materials
512463,SHREE GLOBAL,Shree Global Tradefin Ltd (BSE code:512463)   ,Financial Services
531693,SHRI GANESH ,SHR GANE SPI (BSE code:531693)   ,Textile
533001,SOMI CONVEY ,Somi Conveyor Beltings Limited (BSE code:533001)   ,Others
521178,SRI RAMK.MIL,SRI RAMK.MIL(BSE INDONEXT) (BSE code:521178)   ,Textile
522296,SS FORG ENG.,SS Forgings and Engineering Ltd(NDA) (BSE code:522296)   ,Engineering
532343,TVS MOTOR L ,TVS Motor Company Limited (BSE code:532343)   ,Automobiles
531221,MAYUR FLOOR.,MAYUR FLOOR (BSE code:531221)   ,Mining
530119,NATRAJ PROTE,Natraj Proteins Ltd(NDA) (BSE code:530119)   ,Food Processing
504286,DELTA MAG   ,Delta Mag    (Bse Code: 504286 ),Others
513119,ABC GAS INT ,ABC GAS INT (BSE code:513119)   ,Non Ferrous Metals
961644,Iciapr08tsb2 (Bse Code: 961644 ),Iciapr08tsb2 (Bse Code: 961644 ),Un classified
