Company name,Symbol
Bajaj Auto Limited,NSE: BAJAJ-AUTO
Bajaj Consumer Care Limited,NSE: BAJAJCON
Bajaj Electricals Limited,NSE: BAJAJELEC
Bajaj Finance Limited,NSE: BAJFINANCE
Bajaj Finserv Limited,NSE: BAJAJFINSV
Bajaj Hindusthan Sugar Limited,NSE: BAJAJHIND
Bajaj Holdings & Investment Limited,NSE: BAJAJHLDNG
Bal Pharma Limited,NSE: BALPHARMA
Balaji Amines Limited,NSE: BALAMINES
Balaji Telefilms Limited,NSE: BALAJITELE
Balaxi Ventures Limited,NSE: BALAXI
Balkrishna Industries Limited,NSE: BALKRISIND
Balkrishna Paper Mills Limited,NSE: BALKRISHNA
Ballarpur Industries Limited,NSE: BALLARPUR
Balmer Lawrie & Company Limited,NSE: BALMLAWRIE
Balrampur Chini Mills Limited,NSE: BALRAMCHIN
Banaras Beads Limited,NSE: BANARBEADS
Banco Products (I) Limited,NSE: BANCOINDIA
Bandhan Bank Limited,NSE: BANDHANBNK
Bang Overseas Limited,NSE: BANG
Bank of Baroda,NSE: BANKBARODA
Bank of India,NSE: BANKINDIA
Bank of Maharashtra,NSE: MAHABANK
Banka BioLoo Limited,NSE: BANKA
Bannari Amman Spinning Mills Limited,NSE: BASML
Bannari Amman Sugars Limited,NSE: BANARISUG
Banswara Syntex Limited,NSE: BANSWRAS
Barak Valley Cements Limited,NSE: BVCL
Bartronics India Limited,NSE: BARTRONICS
BASF India Limited,NSE: BASF
Bata India Limited,NSE: BATAINDIA
BDR Buildcon Limited,NSE: BDR
Beardsell Limited,NSE: BEARDSELL
Bedmutha Industries Limited,NSE: BEDMUTHA
BEML Limited,NSE: BEML
Berger Paints (I) Limited,NSE: BERGEPAINT
Beta Drugs Limited,NSE: BETA
BF Investment Limited,NSE: BFINVEST
BF Utilities Limited,NSE: BFUTILITIE
BGR Energy Systems Limited,NSE: BGRENERGY
Bhageria Industries Limited,NSE: BHAGERIA
Bhagyanagar India Limited,NSE: BHAGYANGR
Bhagyanagar Properties Limited,NSE: BHAGYAPROP
Bhalchandram Clothing Limited,NSE: BHALCHANDR
Bhandari Hosiery Exports Limited,NSE: BHANDARI
Bhansali Engineering Polymers Limited,NSE: BEPL
Bharat Bijlee Limited,NSE: BBL
Bharat Dynamics Limited,NSE: BDL
Bharat Electronics Limited,NSE: BEL
Bharat Forge Limited,NSE: BHARATFORG
Bharat Gears Limited,NSE: BHARATGEAR
Bharat Heavy Electricals Limited,NSE: BHEL
Bharat Petroleum Corporation Limited,NSE: BPCL
Bharat Rasayan Limited,NSE: BHARATRAS
Bharat Road Network Limited,NSE: BRNL
Bharat Wire Ropes Limited,NSE: BHARATWIRE
Bharti Airtel Limited,NSE: BHARTIARTL
Bharti Infratel Limited,NSE: INFRATEL
Bhartiya International Limited,NSE: BIL
Bigbloc Construction Limited,NSE: BIGBLOC
Bil Energy Systems Limited,NSE: BILENERGY
Biocon Limited,NSE: BIOCON
Biofil Chemicals & Pharmaceuticals Limited,NSE: BIOFILCHEM
Birla Cable Limited,NSE: BIRLACABLE
Birla Corporation Limited,NSE: BIRLACORPN
